#,Name,Type 1,Type 2,Total,HP,Attack,Sp. Atk,Attack Max,Defense,Sp. Def,MAX Defense,Speed,Generation,Legendary
47,Parasect,Bug,Grass,405,60,95,60,95,80,80,80,30,1,FALSE
48,Venonat,Bug,Poison,305,60,55,40,55,50,55,55,45,1,FALSE
49,Venomoth,Bug,Poison,450,70,65,90,90,60,75,75,90,1,FALSE
50,Diglett,Ground,,265,10,55,35,55,25,45,45,95,1,FALSE
51,Dugtrio,Ground,,405,35,80,50,80,50,70,70,120,1,FALSE
52,Meowth,Normal,,290,40,45,40,45,35,40,40,90,1,FALSE
53,Persian,Normal,,440,65,70,65,70,60,65,65,115,1,FALSE
54,Psyduck,Water,,320,50,52,65,65,48,50,50,55,1,FALSE
55,Golduck,Water,,500,80,82,95,95,78,80,80,85,1,FALSE
56,Mankey,Fighting,,305,40,80,35,80,35,45,45,70,1,FALSE
57,Primeape,Fighting,,455,65,105,60,105,60,70,70,95,1,FALSE
58,Growlithe,Fire,,350,55,70,70,70,45,50,50,60,1,FALSE
59,Arcanine,Fire,,555,90,110,100,110,80,80,80,95,1,FALSE
60,Poliwag,Water,,300,40,50,40,50,40,40,40,90,1,FALSE
61,Poliwhirl,Water,,385,65,65,50,65,65,50,65,90,1,FALSE
62,Poliwrath,Water,Fighting,510,90,95,70,95,95,90,95,70,1,FALSE
63,Abra,Psychic,,310,25,20,105,105,15,55,55,90,1,FALSE
64,Kadabra,Psychic,,400,40,35,120,120,30,70,70,105,1,FALSE
65,Alakazam,Psychic,,500,55,50,135,135,45,95,95,120,1,FALSE
65,AlakazamMega Alakazam,Psychic,,590,55,50,175,175,65,95,95,150,1,FALSE
66,Machop,Fighting,,305,70,80,35,80,50,35,50,35,1,FALSE
67,Machoke,Fighting,,405,80,100,50,100,70,60,70,45,1,FALSE
68,Machamp,Fighting,,505,90,130,65,130,80,85,85,55,1,FALSE
69,Bellsprout,Grass,Poison,300,50,75,70,75,35,30,35,40,1,FALSE
70,Weepinbell,Grass,Poison,390,65,90,85,90,50,45,50,55,1,FALSE
71,Victreebel,Grass,Poison,490,80,105,100,105,65,70,70,70,1,FALSE
72,Tentacool,Water,Poison,335,40,40,50,50,35,100,100,70,1,FALSE
73,Tentacruel,Water,Poison,515,80,70,80,80,65,120,120,100,1,FALSE
74,Geodude,Rock,Ground,300,40,80,30,80,100,30,100,20,1,FALSE
75,Graveler,Rock,Ground,390,55,95,45,95,115,45,115,35,1,FALSE
76,Golem,Rock,Ground,495,80,120,55,120,130,65,130,45,1,FALSE
77,Ponyta,Fire,,410,50,85,65,85,55,65,65,90,1,FALSE
78,Rapidash,Fire,,500,65,100,80,100,70,80,80,105,1,FALSE
79,Slowpoke,Water,Psychic,315,90,65,40,65,65,40,65,15,1,FALSE
80,Slowbro,Water,Psychic,490,95,75,100,100,110,80,110,30,1,FALSE
80,SlowbroMega Slowbro,Water,Psychic,590,95,75,130,130,180,80,180,30,1,FALSE
81,Magnemite,Electric,Steel,325,25,35,95,95,70,55,70,45,1,FALSE
82,Magneton,Electric,Steel,465,50,60,120,120,95,70,95,70,1,FALSE
83,Farfetch'd,Normal,Flying,352,52,65,58,65,55,62,62,60,1,FALSE
84,Doduo,Normal,Flying,310,35,85,35,85,45,35,45,75,1,FALSE
85,Dodrio,Normal,Flying,460,60,110,60,110,70,60,70,100,1,FALSE
86,Seel,Water,,325,65,45,45,45,55,70,70,45,1,FALSE
87,Dewgong,Water,Ice,475,90,70,70,70,80,95,95,70,1,FALSE
88,Grimer,Poison,,325,80,80,40,80,50,50,50,25,1,FALSE
89,Muk,Poison,,500,105,105,65,105,75,100,100,50,1,FALSE
90,Shellder,Water,,305,30,65,45,65,100,25,100,40,1,FALSE
91,Cloyster,Water,Ice,525,50,95,85,95,180,45,180,70,1,FALSE
92,Gastly,Ghost,Poison,310,30,35,100,100,30,35,35,80,1,FALSE
93,Haunter,Ghost,Poison,405,45,50,115,115,45,55,55,95,1,FALSE
94,Gengar,Ghost,Poison,500,60,65,130,130,60,75,75,110,1,FALSE
94,GengarMega Gengar,Ghost,Poison,600,60,65,170,170,80,95,95,130,1,FALSE
95,Onix,Rock,Ground,385,35,45,30,45,160,45,160,70,1,FALSE
96,Drowzee,Psychic,,328,60,48,43,48,45,90,90,42,1,FALSE
97,Hypno,Psychic,,483,85,73,73,73,70,115,115,67,1,FALSE
98,Krabby,Water,,325,30,105,25,105,90,25,90,50,1,FALSE
99,Kingler,Water,,475,55,130,50,130,115,50,115,75,1,FALSE
100,Voltorb,Electric,,330,40,30,55,55,50,55,55,100,1,FALSE
101,Electrode,Electric,,480,60,50,80,80,70,80,80,140,1,FALSE
102,Exeggcute,Grass,Psychic,325,60,40,60,60,80,45,80,40,1,FALSE
103,Exeggutor,Grass,Psychic,520,95,95,125,125,85,65,85,55,1,FALSE
104,Cubone,Ground,,320,50,50,40,50,95,50,95,35,1,FALSE
105,Marowak,Ground,,425,60,80,50,80,110,80,110,45,1,FALSE
106,Hitmonlee,Fighting,,455,50,120,35,120,53,110,110,87,1,FALSE
107,Hitmonchan,Fighting,,455,50,105,35,105,79,110,110,76,1,FALSE
108,Lickitung,Normal,,385,90,55,60,60,75,75,75,30,1,FALSE
109,Koffing,Poison,,340,40,65,60,65,95,45,95,35,1,FALSE
110,Weezing,Poison,,490,65,90,85,90,120,70,120,60,1,FALSE
111,Rhyhorn,Ground,Rock,345,80,85,30,85,95,30,95,25,1,FALSE
112,Rhydon,Ground,Rock,485,105,130,45,130,120,45,120,40,1,FALSE
113,Chansey,Normal,,450,250,5,35,35,5,105,105,50,1,FALSE
114,Tangela,Grass,,435,65,55,100,100,115,40,115,60,1,FALSE
115,Kangaskhan,Normal,,490,105,95,40,95,80,80,80,90,1,FALSE
115,KangaskhanMega Kangaskhan,Normal,,590,105,125,60,125,100,100,100,100,1,FALSE
116,Horsea,Water,,295,30,40,70,70,70,25,70,60,1,FALSE
117,Seadra,Water,,440,55,65,95,95,95,45,95,85,1,FALSE
118,Goldeen,Water,,320,45,67,35,67,60,50,60,63,1,FALSE
119,Seaking,Water,,450,80,92,65,92,65,80,80,68,1,FALSE
120,Staryu,Water,,340,30,45,70,70,55,55,55,85,1,FALSE
121,Starmie,Water,Psychic,520,60,75,100,100,85,85,85,115,1,FALSE
122,Mr. Mime,Psychic,Fairy,460,40,45,100,100,65,120,120,90,1,FALSE
123,Scyther,Bug,Flying,500,70,110,55,110,80,80,80,105,1,FALSE
124,Jynx,Ice,Psychic,455,65,50,115,115,35,95,95,95,1,FALSE
125,Electabuzz,Electric,,490,65,83,95,95,57,85,85,105,1,FALSE
126,Magmar,Fire,,495,65,95,100,100,57,85,85,93,1,FALSE
127,Pinsir,Bug,,500,65,125,55,125,100,70,100,85,1,FALSE
127,PinsirMega Pinsir,Bug,Flying,600,65,155,65,155,120,90,120,105,1,FALSE
128,Tauros,Normal,,490,75,100,40,100,95,70,95,110,1,FALSE
129,Magikarp,Water,,200,20,10,15,15,55,20,55,80,1,FALSE
130,Gyarados,Water,Flying,540,95,125,60,125,79,100,100,81,1,FALSE
130,GyaradosMega Gyarados,Water,Dark,640,95,155,70,155,109,130,130,81,1,FALSE
131,Lapras,Water,Ice,535,130,85,85,85,80,95,95,60,1,FALSE
132,Ditto,Normal,,288,48,48,48,48,48,48,48,48,1,FALSE
133,Eevee,Normal,,325,55,55,45,55,50,65,65,55,1,FALSE
134,Vaporeon,Water,,525,130,65,110,110,60,95,95,65,1,FALSE
135,Jolteon,Electric,,525,65,65,110,110,60,95,95,130,1,FALSE
136,Flareon,Fire,,525,65,130,95,130,60,110,110,65,1,FALSE
137,Porygon,Normal,,395,65,60,85,85,70,75,75,40,1,FALSE
138,Omanyte,Rock,Water,355,35,40,90,90,100,55,100,35,1,FALSE
139,Omastar,Rock,Water,495,70,60,115,115,125,70,125,55,1,FALSE
140,Kabuto,Rock,Water,355,30,80,55,80,90,45,90,55,1,FALSE
141,Kabutops,Rock,Water,495,60,115,65,115,105,70,105,80,1,FALSE
142,Aerodactyl,Rock,Flying,515,80,105,60,105,65,75,75,130,1,FALSE
142,AerodactylMega Aerodactyl,Rock,Flying,615,80,135,70,135,85,95,95,150,1,FALSE
143,Snorlax,Normal,,540,160,110,65,110,65,110,110,30,1,FALSE
144,Articuno,Ice,Flying,580,90,85,95,95,100,125,125,85,1,TRUE
145,Zapdos,Electric,Flying,580,90,90,125,125,85,90,90,100,1,TRUE
146,Moltres,Fire,Flying,580,90,100,125,125,90,85,90,90,1,TRUE
147,Dratini,Dragon,,300,41,64,50,64,45,50,50,50,1,FALSE
148,Dragonair,Dragon,,420,61,84,70,84,65,70,70,70,1,FALSE
149,Dragonite,Dragon,Flying,600,91,134,100,134,95,100,100,80,1,FALSE
150,Mewtwo,Psychic,,680,106,110,154,154,90,90,90,130,1,TRUE
150,MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,154,190,100,100,100,130,1,TRUE
150,MewtwoMega Mewtwo Y,Psychic,,780,106,150,194,194,70,120,120,140,1,TRUE
151,Mew,Psychic,,600,100,100,100,100,100,100,100,100,1,FALSE
152,Chikorita,Grass,,318,45,49,49,49,65,65,65,45,2,FALSE
153,Bayleef,Grass,,405,60,62,63,63,80,80,80,60,2,FALSE
154,Meganium,Grass,,525,80,82,83,83,100,100,100,80,2,FALSE
155,Cyndaquil,Fire,,309,39,52,60,60,43,50,50,65,2,FALSE
156,Quilava,Fire,,405,58,64,80,80,58,65,65,80,2,FALSE
157,Typhlosion,Fire,,534,78,84,109,109,78,85,85,100,2,FALSE
158,Totodile,Water,,314,50,65,44,65,64,48,64,43,2,FALSE
159,Croconaw,Water,,405,65,80,59,80,80,63,80,58,2,FALSE
160,Feraligatr,Water,,530,85,105,79,105,100,83,100,78,2,FALSE
161,Sentret,Normal,,215,35,46,35,46,34,45,45,20,2,FALSE
162,Furret,Normal,,415,85,76,45,76,64,55,64,90,2,FALSE
163,Hoothoot,Normal,Flying,262,60,30,36,36,30,56,56,50,2,FALSE
164,Noctowl,Normal,Flying,442,100,50,76,76,50,96,96,70,2,FALSE
165,Ledyba,Bug,Flying,265,40,20,40,40,30,80,80,55,2,FALSE
166,Ledian,Bug,Flying,390,55,35,55,55,50,110,110,85,2,FALSE
167,Spinarak,Bug,Poison,250,40,60,40,60,40,40,40,30,2,FALSE
168,Ariados,Bug,Poison,390,70,90,60,90,70,60,70,40,2,FALSE
169,Crobat,Poison,Flying,535,85,90,70,90,80,80,80,130,2,FALSE
170,Chinchou,Water,Electric,330,75,38,56,56,38,56,56,67,2,FALSE
171,Lanturn,Water,Electric,460,125,58,76,76,58,76,76,67,2,FALSE
172,Pichu,Electric,,205,20,40,35,40,15,35,35,60,2,FALSE
173,Cleffa,Fairy,,218,50,25,45,45,28,55,55,15,2,FALSE
174,Igglybuff,Normal,Fairy,210,90,30,40,40,15,20,20,15,2,FALSE
175,Togepi,Fairy,,245,35,20,40,40,65,65,65,20,2,FALSE
176,Togetic,Fairy,Flying,405,55,40,80,80,85,105,105,40,2,FALSE
177,Natu,Psychic,Flying,320,40,50,70,70,45,45,45,70,2,FALSE
178,Xatu,Psychic,Flying,470,65,75,95,95,70,70,70,95,2,FALSE
179,Mareep,Electric,,280,55,40,65,65,40,45,45,35,2,FALSE
180,Flaaffy,Electric,,365,70,55,80,80,55,60,60,45,2,FALSE
181,Ampharos,Electric,,510,90,75,115,115,85,90,90,55,2,FALSE
181,AmpharosMega Ampharos,Electric,Dragon,610,90,95,165,165,105,110,110,45,2,FALSE
182,Bellossom,Grass,,490,75,80,90,90,95,100,100,50,2,FALSE
183,Marill,Water,Fairy,250,70,20,20,20,50,50,50,40,2,FALSE
184,Azumarill,Water,Fairy,420,100,50,60,60,80,80,80,50,2,FALSE
185,Sudowoodo,Rock,,410,70,100,30,100,115,65,115,30,2,FALSE
186,Politoed,Water,,500,90,75,90,90,75,100,100,70,2,FALSE
187,Hoppip,Grass,Flying,250,35,35,35,35,40,55,55,50,2,FALSE
188,Skiploom,Grass,Flying,340,55,45,45,45,50,65,65,80,2,FALSE
189,Jumpluff,Grass,Flying,460,75,55,55,55,70,95,95,110,2,FALSE
190,Aipom,Normal,,360,55,70,40,70,55,55,55,85,2,FALSE
191,Sunkern,Grass,,180,30,30,30,30,30,30,30,30,2,FALSE
192,Sunflora,Grass,,425,75,75,105,105,55,85,85,30,2,FALSE
193,Yanma,Bug,Flying,390,65,65,75,75,45,45,45,95,2,FALSE
194,Wooper,Water,Ground,210,55,45,25,45,45,25,45,15,2,FALSE
195,Quagsire,Water,Ground,430,95,85,65,85,85,65,85,35,2,FALSE
196,Espeon,Psychic,,525,65,65,130,130,60,95,95,110,2,FALSE
197,Umbreon,Dark,,525,95,65,60,65,110,130,130,65,2,FALSE
198,Murkrow,Dark,Flying,405,60,85,85,85,42,42,42,91,2,FALSE
199,Slowking,Water,Psychic,490,95,75,100,100,80,110,110,30,2,FALSE
200,Misdreavus,Ghost,,435,60,60,85,85,60,85,85,85,2,FALSE
201,Unown,Psychic,,336,48,72,72,72,48,48,48,48,2,FALSE
202,Wobbuffet,Psychic,,405,190,33,33,33,58,58,58,33,2,FALSE
203,Girafarig,Normal,Psychic,455,70,80,90,90,65,65,65,85,2,FALSE
204,Pineco,Bug,,290,50,65,35,65,90,35,90,15,2,FALSE
205,Forretress,Bug,Steel,465,75,90,60,90,140,60,140,40,2,FALSE
206,Dunsparce,Normal,,415,100,70,65,70,70,65,70,45,2,FALSE
207,Gligar,Ground,Flying,430,65,75,35,75,105,65,105,85,2,FALSE
208,Steelix,Steel,Ground,510,75,85,55,85,200,65,200,30,2,FALSE
208,SteelixMega Steelix,Steel,Ground,610,75,125,55,125,230,95,230,30,2,FALSE
209,Snubbull,Fairy,,300,60,80,40,80,50,40,50,30,2,FALSE
210,Granbull,Fairy,,450,90,120,60,120,75,60,75,45,2,FALSE
211,Qwilfish,Water,Poison,430,65,95,55,95,75,55,75,85,2,FALSE
212,Scizor,Bug,Steel,500,70,130,55,130,100,80,100,65,2,FALSE
212,ScizorMega Scizor,Bug,Steel,600,70,150,65,150,140,100,140,75,2,FALSE
213,Shuckle,Bug,Rock,505,20,10,10,10,230,230,230,5,2,FALSE
214,Heracross,Bug,Fighting,500,80,125,40,125,75,95,95,85,2,FALSE
214,HeracrossMega Heracross,Bug,Fighting,600,80,185,40,185,115,105,115,75,2,FALSE
215,Sneasel,Dark,Ice,430,55,95,35,95,55,75,75,115,2,FALSE
216,Teddiursa,Normal,,330,60,80,50,80,50,50,50,40,2,FALSE
217,Ursaring,Normal,,500,90,130,75,130,75,75,75,55,2,FALSE
218,Slugma,Fire,,250,40,40,70,70,40,40,40,20,2,FALSE
219,Magcargo,Fire,Rock,410,50,50,80,80,120,80,120,30,2,FALSE
220,Swinub,Ice,Ground,250,50,50,30,50,40,30,40,50,2,FALSE
221,Piloswine,Ice,Ground,450,100,100,60,100,80,60,80,50,2,FALSE
222,Corsola,Water,Rock,380,55,55,65,65,85,85,85,35,2,FALSE
223,Remoraid,Water,,300,35,65,65,65,35,35,35,65,2,FALSE
224,Octillery,Water,,480,75,105,105,105,75,75,75,45,2,FALSE
225,Delibird,Ice,Flying,330,45,55,65,65,45,45,45,75,2,FALSE
226,Mantine,Water,Flying,465,65,40,80,80,70,140,140,70,2,FALSE
227,Skarmory,Steel,Flying,465,65,80,40,80,140,70,140,70,2,FALSE
228,Houndour,Dark,Fire,330,45,60,80,80,30,50,50,65,2,FALSE
229,Houndoom,Dark,Fire,500,75,90,110,110,50,80,80,95,2,FALSE
229,HoundoomMega Houndoom,Dark,Fire,600,75,90,140,140,90,90,90,115,2,FALSE
230,Kingdra,Water,Dragon,540,75,95,95,95,95,95,95,85,2,FALSE
231,Phanpy,Ground,,330,90,60,40,60,60,40,60,40,2,FALSE
232,Donphan,Ground,,500,90,120,60,120,120,60,120,50,2,FALSE
233,Porygon2,Normal,,515,85,80,105,105,90,95,95,60,2,FALSE
234,Stantler,Normal,,465,73,95,85,95,62,65,65,85,2,FALSE
235,Smeargle,Normal,,250,55,20,20,20,35,45,45,75,2,FALSE
236,Tyrogue,Fighting,,210,35,35,35,35,35,35,35,35,2,FALSE
237,Hitmontop,Fighting,,455,50,95,35,95,95,110,110,70,2,FALSE
238,Smoochum,Ice,Psychic,305,45,30,85,85,15,65,65,65,2,FALSE
239,Elekid,Electric,,360,45,63,65,65,37,55,55,95,2,FALSE
240,Magby,Fire,,365,45,75,70,75,37,55,55,83,2,FALSE
241,Miltank,Normal,,490,95,80,40,80,105,70,105,100,2,FALSE
242,Blissey,Normal,,540,255,10,75,75,10,135,135,55,2,FALSE
243,Raikou,Electric,,580,90,85,115,115,75,100,100,115,2,TRUE
244,Entei,Fire,,580,115,115,90,115,85,75,85,100,2,TRUE
245,Suicune,Water,,580,100,75,90,90,115,115,115,85,2,TRUE
246,Larvitar,Rock,Ground,300,50,64,45,64,50,50,50,41,2,FALSE
247,Pupitar,Rock,Ground,410,70,84,65,84,70,70,70,51,2,FALSE
248,Tyranitar,Rock,Dark,600,100,134,95,134,110,100,110,61,2,FALSE
248,TyranitarMega Tyranitar,Rock,Dark,700,100,164,95,164,150,120,150,71,2,FALSE
249,Lugia,Psychic,Flying,680,106,90,90,90,130,154,154,110,2,TRUE
250,Ho-oh,Fire,Flying,680,106,130,110,130,90,154,154,90,2,TRUE
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,100,100,2,FALSE
252,Treecko,Grass,,310,40,45,65,65,35,55,55,70,3,FALSE
253,Grovyle,Grass,,405,50,65,85,85,45,65,65,95,3,FALSE
254,Sceptile,Grass,,530,70,85,105,105,65,85,85,120,3,FALSE
254,SceptileMega Sceptile,Grass,Dragon,630,70,110,145,145,75,85,85,145,3,FALSE
255,Torchic,Fire,,310,45,60,70,70,40,50,50,45,3,FALSE
256,Combusken,Fire,Fighting,405,60,85,85,85,60,60,60,55,3,FALSE
257,Blaziken,Fire,Fighting,530,80,120,110,120,70,70,70,80,3,FALSE
257,BlazikenMega Blaziken,Fire,Fighting,630,80,160,130,160,80,80,80,100,3,FALSE
258,Mudkip,Water,,310,50,70,50,70,50,50,50,40,3,FALSE
259,Marshtomp,Water,Ground,405,70,85,60,85,70,70,70,50,3,FALSE
260,Swampert,Water,Ground,535,100,110,85,110,90,90,90,60,3,FALSE
260,SwampertMega Swampert,Water,Ground,635,100,150,95,150,110,110,110,70,3,FALSE
261,Poochyena,Dark,,220,35,55,30,55,35,30,35,35,3,FALSE
262,Mightyena,Dark,,420,70,90,60,90,70,60,70,70,3,FALSE
263,Zigzagoon,Normal,,240,38,30,30,30,41,41,41,60,3,FALSE
264,Linoone,Normal,,420,78,70,50,70,61,61,61,100,3,FALSE
265,Wurmple,Bug,,195,45,45,20,45,35,30,35,20,3,FALSE
266,Silcoon,Bug,,205,50,35,25,35,55,25,55,15,3,FALSE
267,Beautifly,Bug,Flying,395,60,70,100,100,50,50,50,65,3,FALSE
268,Cascoon,Bug,,205,50,35,25,35,55,25,55,15,3,FALSE
269,Dustox,Bug,Poison,385,60,50,50,50,70,90,90,65,3,FALSE
270,Lotad,Water,Grass,220,40,30,40,40,30,50,50,30,3,FALSE
271,Lombre,Water,Grass,340,60,50,60,60,50,70,70,50,3,FALSE
272,Ludicolo,Water,Grass,480,80,70,90,90,70,100,100,70,3,FALSE
273,Seedot,Grass,,220,40,40,30,40,50,30,50,30,3,FALSE
274,Nuzleaf,Grass,Dark,340,70,70,60,70,40,40,40,60,3,FALSE
275,Shiftry,Grass,Dark,480,90,100,90,100,60,60,60,80,3,FALSE
276,Taillow,Normal,Flying,270,40,55,30,55,30,30,30,85,3,FALSE
277,Swellow,Normal,Flying,430,60,85,50,85,60,50,60,125,3,FALSE
278,Wingull,Water,Flying,270,40,30,55,55,30,30,30,85,3,FALSE
279,Pelipper,Water,Flying,430,60,50,85,85,100,70,100,65,3,FALSE
280,Ralts,Psychic,Fairy,198,28,25,45,45,25,35,35,40,3,FALSE
281,Kirlia,Psychic,Fairy,278,38,35,65,65,35,55,55,50,3,FALSE
282,Gardevoir,Psychic,Fairy,518,68,65,125,125,65,115,115,80,3,FALSE
282,GardevoirMega Gardevoir,Psychic,Fairy,618,68,85,165,165,65,135,135,100,3,FALSE
283,Surskit,Bug,Water,269,40,30,50,50,32,52,52,65,3,FALSE
284,Masquerain,Bug,Flying,414,70,60,80,80,62,82,82,60,3,FALSE
285,Shroomish,Grass,,295,60,40,40,40,60,60,60,35,3,FALSE
286,Breloom,Grass,Fighting,460,60,130,60,130,80,60,80,70,3,FALSE
287,Slakoth,Normal,,280,60,60,35,60,60,35,60,30,3,FALSE
288,Vigoroth,Normal,,440,80,80,55,80,80,55,80,90,3,FALSE
289,Slaking,Normal,,670,150,160,95,160,100,65,100,100,3,FALSE
290,Nincada,Bug,Ground,266,31,45,30,45,90,30,90,40,3,FALSE
291,Ninjask,Bug,Flying,456,61,90,50,90,45,50,50,160,3,FALSE
292,Shedinja,Bug,Ghost,236,1,90,30,90,45,30,45,40,3,FALSE
293,Whismur,Normal,,240,64,51,51,51,23,23,23,28,3,FALSE
294,Loudred,Normal,,360,84,71,71,71,43,43,43,48,3,FALSE
295,Exploud,Normal,,490,104,91,91,91,63,73,73,68,3,FALSE
296,Makuhita,Fighting,,237,72,60,20,60,30,30,30,25,3,FALSE
297,Hariyama,Fighting,,474,144,120,40,120,60,60,60,50,3,FALSE
298,Azurill,Normal,Fairy,190,50,20,20,20,40,40,40,20,3,FALSE
299,Nosepass,Rock,,375,30,45,45,45,135,90,135,30,3,FALSE
300,Skitty,Normal,,260,50,45,35,45,45,35,45,50,3,FALSE
301,Delcatty,Normal,,380,70,65,55,65,65,55,65,70,3,FALSE
302,Sableye,Dark,Ghost,380,50,75,65,75,75,65,75,50,3,FALSE
302,SableyeMega Sableye,Dark,Ghost,480,50,85,85,85,125,115,125,20,3,FALSE
303,Mawile,Steel,Fairy,380,50,85,55,85,85,55,85,50,3,FALSE
303,MawileMega Mawile,Steel,Fairy,480,50,105,55,105,125,95,125,50,3,FALSE
304,Aron,Steel,Rock,330,50,70,40,70,100,40,100,30,3,FALSE
305,Lairon,Steel,Rock,430,60,90,50,90,140,50,140,40,3,FALSE
306,Aggron,Steel,Rock,530,70,110,60,110,180,60,180,50,3,FALSE
306,AggronMega Aggron,Steel,,630,70,140,60,140,230,80,230,50,3,FALSE
307,Meditite,Fighting,Psychic,280,30,40,40,40,55,55,55,60,3,FALSE
308,Medicham,Fighting,Psychic,410,60,60,60,60,75,75,75,80,3,FALSE
308,MedichamMega Medicham,Fighting,Psychic,510,60,100,80,100,85,85,85,100,3,FALSE
309,Electrike,Electric,,295,40,45,65,65,40,40,40,65,3,FALSE
310,Manectric,Electric,,475,70,75,105,105,60,60,60,105,3,FALSE
310,ManectricMega Manectric,Electric,,575,70,75,135,135,80,80,80,135,3,FALSE
311,Plusle,Electric,,405,60,50,85,85,40,75,75,95,3,FALSE
312,Minun,Electric,,405,60,40,75,75,50,85,85,95,3,FALSE
313,Volbeat,Bug,,400,65,73,47,73,55,75,75,85,3,FALSE
314,Illumise,Bug,,400,65,47,73,73,55,75,75,85,3,FALSE
315,Roselia,Grass,Poison,400,50,60,100,100,45,80,80,65,3,FALSE
316,Gulpin,Poison,,302,70,43,43,43,53,53,53,40,3,FALSE
317,Swalot,Poison,,467,100,73,73,73,83,83,83,55,3,FALSE
